Year,Month,Bank,State,City,Effective_Days,ATM_Type,ATM_ID,Quarter,Fin_Txn,Non_Fin_Txn,Monthly_Txn,Monthly_Revenue,MHA_Revenue,ATM_Revenue_Total,Rent,Electricity_Bill,ATM_AMC,UPS_AMC,VSAT_AMC,Spare_Rep_SLM,Spare_Rep_AC,Spare_Rep_UPS,Compensation,Penalty,ATM_Housekeeping,Security,Insurance,Total_Cost,Gross_Profit,Gross_Profit_Percent,Txn_Range_Current,Txn_Range_Previous,Txn_Range_Previous_2,Margin_Status,Revenue_Performance,Uptime,Profit_Category
2023,Apr,SBI,Jharkhand,Ranchi,30,Onsite,SBIJR262162,Q2,2790,868.53,3658.53,46192.64,9238.53,55431.17,18074,7317.06,3369,2014,1194,2007,376,761,1967,1232,1717,4351,553,44932.06,100363.23,181.06,Medium,High,High,Above 0%,Poor,94.96,Low Profit
2024,Jun,SBI,Jharkhand,Dhanbad,26,Onsite,SBIJD160286,Q2,761,468.01,1229.01,13755.07,2751.01,16506.08,27661,2458.03,3003,2231,2191,2089,515,641,1609,1207,1435,4198,634,49872.03,66378.1,402.14,Low,Medium,Medium,Below 0%,Poor,94.95,Loss
2024,Feb,SBI,Jharkhand,Hazaribagh,26,Onsite,SBIJH198919,Q1,4776,3193.24,7969.24,87606.2,17521.24,105127.44,15704,15938.48,4793,2164,1748,1630,872,977,1148,1092,2771,3004,1202,53043.48,158170.91,150.46,High,Low,High,Above 0%,Poor,98.18,High Profit
2024,Feb,SBI,Jharkhand,Dhanbad,29,Offsite,SBIJD242036,Q1,634,243.23,877.23,10726.13,2145.23,12871.36,26495,1754.45,6673,2352,1789,2497,1122,986,1888,1341,2407,2385,959,52648.45,65519.81,509.04,Low,High,Low,Below 0%,Poor,90.84,Loss
2023,Feb,SBI,Jharkhand,Ranchi,28,Onsite,SBIJR154451,Q1,3446,2069.6,5515.6,62038.02,12407.6,74445.62,22506,11031.21,4402,1009,1301,1656,1854,847,1753,1291,1390,2067,1129,52236.21,126681.83,170.17,High,Medium,High,Above 0%,Poor,93.01,High Profit
2024,Jan,SBI,Jharkhand,Hazaribagh,29,Onsite,SBIJH213690,Q1,1013,493.26,1506.26,17661.31,3532.26,21193.58,14258,3012.53,4721,1154,2811,2876,889,317,1795,1032,2810,4032,1107,40814.53,62008.1,292.58,Low,Low,Low,Below 0%,Poor,90.2,Loss
2023,Nov,SBI,Jharkhand,Hazaribagh,26,Offsite,SBIJH185385,Q4,979,497.29,1476.29,17171.46,3434.29,20605.75,28692,2952.58,6780,1848,2476,540,885,1245,1195,1432,2965,4900,1141,57051.58,77657.33,376.87,Low,Low,Medium,Below 0%,Poor,97.69,Loss
2024,Feb,SBI,Jharkhand,Jamshedpur,27,Onsite,SBIJJ029203,Q1,834,493.35,1327.35,14976.73,2995.35,17972.07,14293,2654.69,6008,2206,2606,1125,643,393,1526,1265,2431,3909,633,39692.69,57664.76,320.86,Low,Medium,Medium,Below 0%,Poor,90.2,Loss
2024,May,SBI,Jharkhand,Deoghar,25,Brown Label,SBIJD038837,Q2,1301,908.46,2209.46,24057.3,4811.46,28868.76,29130,4418.92,5544,2023,1612,2918,1615,894,1972,1432,2804,2139,523,57024.92,85893.68,297.53,Medium,Low,Medium,Below 0%,Poor,90.79,Loss
2023,Mar,SBI,Jharkhand,Ranchi,28,Onsite,SBIJR054298,Q1,3277,1666.83,4943.83,57489.14,11497.83,68986.97,23946,9887.66,5351,2557,2615,1432,1232,485,1632,1113,2723,2585,1031,56589.66,125576.63,182.03,Medium,High,High,Above 0%,Poor,94.07,Low Profit
2023,Jan,SBI,Jharkhand,Hazaribagh,27,Offsite,SBIJH284809,Q1,2706,1000.4,3706.4,45592.02,9118.4,54710.42,22945,7412.81,3878,2433,2153,599,1561,706,1383,1401,2292,2688,711,50162.81,104873.23,191.69,Medium,High,High,Above 0%,Poor,90.6,Low Profit
2023,Jul,SBI,Jharkhand,Ranchi,26,Brown Label,SBIJR019303,Q3,1529,807.54,2336.54,26972.68,5394.54,32367.21,28862,4673.07,5140,2568,2957,2555,1119,1132,1369,1176,1932,3868,1362,58713.07,91080.28,281.4,Medium,High,Low,Below 0%,Poor,96.47,Loss
2024,Sep,SBI,Jharkhand,Jamshedpur,29,Onsite,SBIJJ278400,Q3,2132,1282.35,3414.35,38391.75,7678.35,46070.11,14396,6828.7,3994,2812,2572,2815,1635,1024,1795,1039,2247,2903,645,44705.7,90775.81,197.04,Medium,High,Medium,Above 0%,Poor,98.7,Low Profit
2024,Jan,SBI,Jharkhand,Hazaribagh,26,Brown Label,SBIJH301852,Q1,5365,2555.49,7920.49,93252.45,18650.49,111902.94,13428,15840.98,4407,2755,1407,1289,1013,898,1836,1193,1562,2324,1308,49260.98,161163.91,144.02,High,High,Medium,Above 0%,Poor,91.84,High Profit
2023,Apr,SBI,Jharkhand,Bokaro,26,Offsite,SBIJB165447,Q2,1875,1295.8,3170.8,34603.99,6920.8,41524.79,20347,6341.6,5735,2970,2489,1017,1387,583,1326,1320,1607,4078,700,49900.6,91425.39,220.17,Medium,Low,High,Below 0%,Poor,98.61,Loss
2024,Jun,SBI,Jharkhand,Jamshedpur,28,Onsite,SBIJJ305268,Q2,1858,963.45,2821.45,32687.24,6537.45,39224.69,25007,5642.9,5416,2826,2143,1036,1413,810,1353,1163,1855,3359,510,52533.9,91758.59,233.93,Medium,High,High,Below 0%,Poor,97.22,Loss
2024,Oct,SBI,Jharkhand,Jamshedpur,30,Brown Label,SBIJJ027353,Q4,2217,1510.36,3727.36,40806.78,8161.36,48968.14,21852,7454.71,6622,1198,1065,2936,387,1061,1896,1153,1776,4719,902,53021.71,101989.85,208.28,Medium,High,Low,Below 0%,Poor,91.28,Loss
2023,Oct,SBI,Jharkhand,Hazaribagh,30,Offsite,SBIJH011035,Q4,1086,656.37,1742.37,19571.85,3914.37,23486.22,27711,3484.74,4197,2084,2905,918,206,472,1635,1068,1829,4708,1386,52603.74,76089.96,323.98,Low,Medium,High,Below 0%,Poor,91.91,Loss
2024,Oct,SBI,Jharkhand,Ranchi,30,Onsite,SBIJR152096,Q4,1120,771.08,1891.08,20655.41,4131.08,24786.49,22931,3782.16,4901,1725,1922,2203,668,1182,1942,1190,2793,4557,604,50400.16,75186.66,303.34,Low,Low,High,Below 0%,Poor,91.92,Loss
2024,Jun,SBI,Jharkhand,Bokaro,29,Brown Label,SBIJB179852,Q2,1429,858.1,2287.1,25725.49,5145.1,30870.59,15169,4574.2,4020,2302,2864,538,1719,313,1164,1296,1452,4415,1019,40845.2,71715.79,232.31,Medium,Medium,Low,Below 0%,Poor,96.27,Loss
2023,Aug,SBI,Jharkhand,Dhanbad,28,Offsite,SBIJD202707,Q3,936,288.76,1224.76,15483.79,3096.76,18580.55,13685,2449.52,4662,2938,1205,1399,453,832,1552,1298,2138,4514,1106,38231.52,56812.07,305.76,Low,Low,High,Below 0%,Poor,94.83,Loss
2023,Apr,SBI,Jharkhand,Dhanbad,29,Offsite,SBIJD051571,Q2,976,464.82,1440.82,16964.09,3392.82,20356.91,21501,2881.64,5466,2255,2882,2117,455,487,1982,1349,1901,4667,705,48648.64,69005.55,338.98,Low,Low,Medium,Below 0%,Poor,95.24,Loss
2023,Oct,SBI,Jharkhand,Hazaribagh,26,Brown Label,SBIJH065528,Q4,1066,657.48,1723.48,19277.4,3855.48,23132.89,19916,3446.96,4079,1706,2875,1079,1820,361,1341,1276,2367,3980,1218,45464.96,68597.85,296.54,Low,Medium,High,Below 0%,Poor,90.59,Loss
2024,Mar,SBI,Jharkhand,Ranchi,28,Brown Label,SBIJR151127,Q1,3243,1452.45,4695.45,55907.24,11181.45,67088.68,16763,9390.89,4342,2761,2517,525,1605,1271,1938,1074,2760,2624,929,48499.89,115588.58,172.29,Medium,Medium,Medium,Above 0%,Poor,94.77,High Profit
2024,Oct,SBI,Jharkhand,Deoghar,29,Brown Label,SBIJD028447,Q4,4540,1738.51,6278.51,76792.53,15358.51,92151.03,28185,12557.01,3222,2105,1111,2508,363,1040,1002,1354,2342,4365,1455,61609.01,153760.04,166.86,High,High,Medium,Above 0%,Poor,97.71,High Profit
2023,Jun,SBI,Jharkhand,Hazaribagh,25,Onsite,SBIJH184412,Q2,4879,2496.72,7375.72,85668.62,17133.72,102802.34,17141,14751.45,3953,1031,2854,2877,606,228,1924,1293,1122,3220,1150,52150.45,154952.78,150.73,High,Low,High,Above 0%,Poor,95.46,High Profit
2024,Feb,SBI,Jharkhand,Jamshedpur,25,Brown Label,SBIJJ309719,Q1,865,270.07,1135.07,14325.36,2865.07,17190.43,20707,2270.14,3730,1797,2248,1883,1678,237,1059,1067,1411,4522,1359,43968.14,61158.58,355.77,Low,Low,High,Below 0%,Poor,90.6,Loss
2023,Aug,SBI,Jharkhand,Deoghar,30,Offsite,SBIJD201701,Q3,5982,3605.41,9587.41,107757.06,21551.41,129308.47,13107,19174.82,3108,1137,2100,1230,1304,959,1970,1439,2363,4538,698,53127.82,182436.3,141.09,High,High,High,Above 0%,Good,92.24,High Profit
2024,Dec,SBI,Jharkhand,Bokaro,28,Brown Label,SBIJB079267,Q4,512,220.94,732.94,8784.69,1756.94,10541.63,17476,1465.88,5944,2709,2849,905,408,690,1853,1230,1682,2922,776,40909.88,51451.51,488.08,Low,Medium,Medium,Below 0%,Poor,91.54,Loss
2023,Jan,SBI,Jharkhand,Bokaro,30,Onsite,SBIJB140805,Q1,4858,1948.35,6806.35,82611.73,16522.35,99134.08,14119,13612.69,6906,2113,2980,1638,1747,977,1446,1204,2254,2789,1383,53168.69,152302.77,153.63,High,Low,High,Above 0%,Poor,94.02,High Profit
2023,Jul,SBI,Jharkhand,Deoghar,29,Brown Label,SBIJD149405,Q3,2636,1466.79,4102.79,46873.93,9374.79,56248.72,15037,8205.57,5152,1535,1859,2353,1809,303,1326,1279,2668,4682,1048,47256.57,103505.29,184.01,Medium,High,High,Above 0%,Poor,94.58,Low Profit
2024,Jan,SBI,Jharkhand,Hazaribagh,25,Brown Label,SBIJH248185,Q1,1530,682.51,2212.51,26362.57,5272.51,31635.08,15412,4425.03,5409,2478,2098,2733,1751,1369,1752,1153,2065,3624,568,44837.03,76472.11,241.73,Medium,Low,Medium,Below 0%,Poor,90.18,Loss
2024,Sep,SBI,Jharkhand,Bokaro,28,Offsite,SBIJB238471,Q3,2350,1435.3,3785.3,42426.5,8485.3,50911.8,29540,7570.6,5881,1952,1844,2679,1862,1374,1362,1360,1285,2379,806,59894.6,110806.4,217.64,Medium,High,High,Below 0%,Poor,94.04,Loss
2023,Jun,SBI,Jharkhand,Hazaribagh,25,Onsite,SBIJH132345,Q2,1090,409.31,1499.31,18396.56,3679.31,22075.88,23263,2998.63,4964,1257,2229,2011,305,800,1522,1458,2683,4416,1268,49174.63,71250.5,322.75,Low,Low,High,Below 0%,Poor,98.53,Loss
2024,Jul,SBI,Jharkhand,Hazaribagh,28,Brown Label,SBIJH190321,Q3,1173,714.38,1887.38,21166.91,4233.38,25400.29,24127,3774.76,6473,1297,1407,1869,538,1211,1533,1400,1380,3024,1241,49274.76,74675.05,293.99,Low,Low,Medium,Below 0%,Poor,94.29,Loss
2023,Aug,SBI,Jharkhand,Jamshedpur,29,Onsite,SBIJJ245468,Q3,5206,1632.16,6838.16,86250.8,17250.16,103500.96,23294,13676.32,4452,1951,1872,2062,288,1426,1149,1295,1828,2394,800,56487.32,159988.28,154.58,High,Medium,High,Above 0%,Poor,92.67,High Profit
2024,Nov,SBI,Jharkhand,Dhanbad,25,Onsite,SBIJD168827,Q4,2346,1354.79,3700.79,41963.94,8392.79,50356.73,19980,7401.58,5898,1175,1900,918,771,585,1471,1487,1904,3494,776,47760.58,98117.31,194.84,Medium,Low,Low,Above 0%,Poor,93.51,Low Profit
2023,Aug,SBI,Jharkhand,Bokaro,29,Onsite,SBIJB043023,Q3,501,269.87,770.87,8864.36,1772.87,10637.23,14494,1541.74,6019,1322,2487,1064,1465,770,1839,1150,1622,2948,849,37570.74,48207.98,453.2,Low,Medium,Medium,Below 0%,Poor,93.26,Loss
2023,Dec,SBI,Jharkhand,Deoghar,29,Offsite,SBIJD254276,Q4,5977,4081.27,10058.27,110061.36,22012.27,132073.63,14133,20116.54,5126,1656,2593,1949,1766,509,1278,1067,1631,3038,1125,55987.54,188061.17,142.39,High,High,Medium,Above 0%,Good,97.03,High Profit
2024,Nov,SBI,Jharkhand,Dhanbad,26,Brown Label,SBIJD140860,Q4,2938,1025.32,3963.32,49196.62,9839.32,59035.95,18434,7926.65,4430,2250,2198,2539,1747,903,1275,1382,1757,3097,711,48649.65,107685.6,182.41,Medium,Low,Low,Above 0%,Poor,94.32,Low Profit
2024,Jul,SBI,Jharkhand,Ranchi,27,Offsite,SBIJR019318,Q3,5678,2322.82,8000.82,96784.08,19356.82,116140.89,22067,16001.63,3859,1158,1245,1097,421,330,1562,1075,2186,3897,652,55550.63,171691.53,147.83,High,Medium,High,Above 0%,Poor,91.27,High Profit
2023,Dec,SBI,Jharkhand,Deoghar,25,Onsite,SBIJD078503,Q4,5623,3664.9,9287.9,102669.5,20533.9,123203.4,12435,18575.8,3818,1984,1712,2391,603,322,1295,1027,2850,3878,1471,52361.8,175565.2,142.5,High,Low,Medium,Above 0%,Good,95.33,High Profit
2024,Feb,SBI,Jharkhand,Jamshedpur,25,Onsite,SBIJJ088367,Q1,2050,1432.87,3482.87,37914.36,7582.87,45497.23,17640,6965.74,5128,1030,1688,987,1192,1337,1085,1450,2190,4326,1122,46140.74,91637.98,201.41,Medium,Medium,High,Below 0%,Poor,94.35,Loss
2024,Apr,SBI,Jharkhand,Dhanbad,30,Onsite,SBIJD181373,Q2,3534,1435.68,4969.68,60188.41,12037.68,72226.09,16147,9939.36,5613,1689,1997,637,1381,493,1756,1225,1614,3870,1121,47482.36,119708.46,165.74,Medium,High,High,Above 0%,Poor,91.05,High Profit
2024,Nov,SBI,Jharkhand,Jamshedpur,28,Onsite,SBIJJ151567,Q4,3085,2098.19,5183.19,56765.93,11353.19,68119.11,24628,10366.37,4037,1347,1428,2066,1920,1197,1206,1163,2194,2026,939,54517.37,122636.48,180.03,High,Low,Medium,Above 0%,Poor,96.34,Low Profit
2023,Jun,SBI,Jharkhand,Jamshedpur,25,Offsite,SBIJJ071663,Q2,1326,760.68,2086.68,23693.38,4738.68,28432.05,28559,4173.35,5764,1829,1416,2008,944,977,1676,1084,1310,4125,836,54701.35,83133.4,292.39,Medium,Medium,Low,Below 0%,Poor,94.86,Loss
2023,Oct,SBI,Jharkhand,Bokaro,29,Offsite,SBIJB142631,Q4,559,184.19,743.19,9305.94,1861.19,11167.12,26000,1486.37,4804,2765,2077,847,1563,698,1259,1430,2878,2012,696,48515.37,59682.5,534.45,Low,Medium,Low,Below 0%,Poor,92.6,Loss
2024,May,SBI,Jharkhand,Bokaro,28,Offsite,SBIJB210527,Q2,2073,1263.53,3336.53,37412.65,7482.53,44895.18,16410,6673.06,4324,2881,1491,1885,649,997,1464,1322,1482,2493,617,42688.06,87583.25,195.08,Medium,Medium,Low,Above 0%,Poor,96.93,Low Profit
2024,Jan,SBI,Jharkhand,Bokaro,26,Offsite,SBIJB015156,Q1,4288,2092.88,6380.88,74784.4,14956.88,89741.28,12412,12761.76,6413,1704,2500,2163,898,720,1712,1372,2757,2409,614,48435.76,138177.04,153.97,High,Low,Low,Above 0%,Poor,99.29,High Profit
2023,Jan,SBI,Jharkhand,Deoghar,26,Brown Label,SBIJD303943,Q1,1575,682.18,2257.18,27035.89,5407.18,32443.07,26611,4514.36,3661,2044,1979,2492,1410,368,1897,1044,2354,4829,1394,54597.36,87040.42,268.29,Medium,Low,High,Below 0%,Poor,92.95,Loss
2024,Mar,SBI,Jharkhand,Deoghar,27,Offsite,SBIJD274063,Q1,561,377.4,938.4,10301.98,2060.4,12362.38,15671,1876.79,4686,1281,1194,1338,1393,782,1971,1214,1855,3581,890,37732.79,50095.17,405.22,Low,Medium,High,Below 0%,Poor,94.21,Loss
2024,Jul,SBI,Jharkhand,Ranchi,28,Brown Label,SBIJR083824,Q3,1845,1241.96,3086.96,33884.82,6776.96,40661.79,16217,6173.93,6201,2390,1084,1411,826,936,1223,1367,1616,2420,1193,43057.93,83719.72,205.89,Medium,Medium,Medium,Below 0%,Poor,92.75,Loss
2023,Mar,SBI,Jharkhand,Bokaro,28,Brown Label,SBIJB281802,Q1,1944,947.8,2891.8,33899.0,6779.8,40678.8,21220,5783.6,4990,2834,2479,575,598,639,1932,1027,2020,3014,1358,48469.6,89148.41,219.15,Medium,Low,Medium,Below 0%,Poor,93.82,Loss
2024,Apr,SBI,Jharkhand,Deoghar,26,Onsite,SBIJD047961,Q2,1897,1014.71,2911.71,33528.57,6705.71,40234.29,28009,5823.43,3435,1264,2292,1272,839,1329,1744,1253,2482,2518,1451,53711.43,93945.72,233.5,Medium,Medium,Medium,Below 0%,Poor,94.64,Loss
2023,Dec,SBI,Jharkhand,Deoghar,26,Onsite,SBIJD068996,Q4,4074,2375.83,6449.83,72989.16,14597.83,87587.0,28967,12899.67,5320,2677,2263,1603,224,299,1954,1256,1441,4236,670,63809.67,151396.66,172.85,High,High,Low,Above 0%,Poor,94.99,High Profit
2023,Mar,SBI,Jharkhand,Jamshedpur,25,Offsite,SBIJJ207789,Q1,4507,1911.99,6418.99,77164.94,15432.99,92597.92,23727,12837.97,6474,1410,2102,2893,1580,1474,1656,1115,2415,2540,536,60759.97,153357.9,165.62,High,Low,Low,Above 0%,Poor,93.67,High Profit
2024,Oct,SBI,Jharkhand,Jamshedpur,28,Brown Label,SBIJJ072871,Q4,1305,908.08,2213.08,24115.42,4823.08,28938.51,28329,4426.17,4625,2285,1441,528,339,1017,1758,1415,1209,4636,653,52661.17,81599.67,281.98,Medium,Medium,Low,Below 0%,Poor,91.98,Loss
2023,Apr,SBI,Jharkhand,Hazaribagh,28,Offsite,SBIJH097643,Q2,3933,2240.49,6173.49,70197.46,14039.49,84236.96,29993,12346.99,3561,2350,1643,952,1402,275,1808,1171,2131,4627,1316,63575.99,147812.94,175.47,High,High,Low,Above 0%,Poor,95.71,High Profit
2023,Sep,SBI,Jharkhand,Jamshedpur,28,Onsite,SBIJJ126591,Q3,2570,1559.38,4129.38,46346.89,9269.38,55616.26,29066,8258.75,3089,2685,2395,1002,1847,780,1407,1087,2556,2876,1030,58078.75,113695.02,204.43,Medium,High,Low,Below 0%,Poor,97.56,Loss
2023,Apr,SBI,Jharkhand,Deoghar,30,Onsite,SBIJD101680,Q2,5689,2181.07,7870.07,96240.36,19248.07,115488.44,15973,15740.15,6080,2797,1887,571,482,426,1803,1167,2058,2972,876,52832.15,168320.58,145.75,High,Medium,Low,Above 0%,Poor,99.98,High Profit
2024,Aug,SBI,Jharkhand,Bokaro,25,Offsite,SBIJB283577,Q3,5712,2956.82,8668.82,100464.12,20092.82,120556.95,24153,17337.65,4146,1206,2867,2766,1254,1184,1883,1056,2999,3094,693,64638.65,185195.59,153.62,High,High,High,Above 0%,Good,96.46,High Profit
2023,Aug,SBI,Jharkhand,Jamshedpur,27,Onsite,SBIJJ203845,Q3,1481,820.92,2301.92,26319.6,5263.92,31583.53,22560,4603.84,6995,1795,1013,961,1332,695,1626,1064,1470,2216,699,47029.84,78613.37,248.91,Medium,Low,Low,Below 0%,Poor,90.79,Loss
2024,May,SBI,Jharkhand,Ranchi,30,Offsite,SBIJR092076,Q2,1390,664.31,2054.31,24171.56,4834.31,29005.87,19693,4108.62,5880,2544,1706,1255,1760,1020,1361,1151,2152,2058,843,45531.62,74537.5,256.97,Medium,Low,High,Below 0%,Poor,94.13,Loss
